code,city,hospName,hospID,hospAddress,latitude,longitude,hospTel
7,高雄市,醫鼎診所,3502052274,高雄市三民區裕誠路101號,22.663679,120.313681,3506789
7,高雄市,建心診所,3507320811,高雄市三民區裕誠路108號,22.663993,120.312845,3593343
7,高雄市,裕成耳鼻喉科診所,3507321194,高雄市三民區裕誠路90號,22.663976,120.313419,3457832
7,高雄市,曾柏彰診所,3507320688,高雄市三民區鼎力路339號,22.669346,120.324554,3103216
7,高雄市,賴耳鼻喉科診所,3502050618,高雄市三民區鼎山街581號,22.650976,120.317374,3826946
7,高雄市,鼎山診所,3507320277,高雄市三民區鼎華路12號,22.650762,120.316942,3800000
7,高雄市,尤啟享診所,3502051777,高雄市三民區澄和路53號,22.644313,120.344896,3811515
7,高雄市,高鳳診所,3502054652,高雄市三民區灣中街328號,22.649971,120.317952,3865481
7,高雄市,大昌倫詠診所,3507321596,高雄市三民區大昌二路307號1-2樓,22.647803,120.331747,3819960
7,高雄市,黃旭瑞耳鼻喉科診所,3502051366,高雄市三民區大昌二路482號,22.650981,120.331166,3802334
7,高雄市,正峯診所,3507321694,高雄市三民區陽明路107號1樓,22.640191,120.341342,3707290
7,高雄市,九大九如診所,3507321541,高雄市三民區九如二路331號1-2樓,22.640946,120.304478,3210999
7,高雄市,安安十全婦幼診所,3507321505,高雄市三民區十全三路280號,22.648403,120.286731,3231550
7,高雄市,曾繁英診所,3502051348,高雄市三民區十美里自立一路267號,22.642389,120.296066,3111048
7,高雄市,鄭榮祥診所,3502051213,高雄市三民區千歲里自強一路197號,22.63472,120.291482,2511241
7,高雄市,愛仁醫療社團法人愛仁醫院,0907320012,高雄市三民區民族一路51號1至4樓,22.641817,120.31384,3115159
7,高雄市,德謙醫院,1502050045,高雄市三民區同德里九如二路18號,22.640667,120.313205,3210981
7,高雄市,財團法人私立高雄醫學大學附設中和紀念醫院,1302050014,高雄市三民區安生里自由一路100號,22.647058,120.309432,3121101
7,高雄市,怡德耳鼻喉科診所,3502050592,高雄市三民區自立一路99號,22.637315,120.296499,2864875
7,高雄市,順安內科兒科診所,3502050869,高雄市三民區自強一路229號,22.635522,120.291172,2815659
7,高雄市,建和耳鼻喉科診所,3502051277,高雄市三民區建國一路413之2號,22.634291,120.317263,2231828
7,高雄市,傳生診所,3507320777,高雄市三民區建國三路503號1樓,22.635249,120.288696,2911588
7,高雄市,婦全婦產科診所,3502050798,高雄市三民區建國三路517號1樓,22.635104,120.288368,2728025
7,高雄市,樂田耳鼻喉科診所,3507320642,高雄市三民區達德里熱河一街365號,22.643633,120.305865,3115999
7,高雄市,文雄醫院,1502050296,高雄市三民區察哈爾二街132號,22.64805,120.299645,3165275
7,高雄市,後驛診所,3502055319,高雄市三民區察哈爾二街19號1樓,22.647511,120.302386,3134133
7,高雄市,祐生醫院,1502050170,高雄市三民區鳳北里建國三路60號,22.637982,120.296105,2866688
7,高雄市,上仁診所,3502051491,高雄市三民區鳳南里中華三路285號,22.635902,120.293115,2155510
7,高雄市,明榮診所,3502055275,高雄市三民區熱河一街370號1至2樓,22.64395,120.305815,3222875
7,高雄市,維揚耳鼻喉科診所,3507321390,高雄市三民區熱河一街402號,22.644017,120.304745,3131066
7,高雄市,厚澤九如診所,3507321710,高雄市三民區九如二路205號1樓,22.640671,120.308069,3137168
7,高雄市,四季康和診所,3507300935,高雄市三民區遼北街209號1樓,22.647929,120.289593,3432349
7,高雄市,南山自立診所,3507321676,高雄市三民區九如二路548號1樓,22.641895,120.296597,3230623
7,高雄市,家祥診所,3507090041,高雄市大社區中山路252號,22.731691,120.348568,3557711
7,高雄市,微恩診所,3507090050,高雄市大社區自強街26-1號,22.730703,120.34712,3530781
7,高雄市,佳愛診所,3542091586,高雄市大社區自強街26-3號,22.730775,120.347142,3542888
7,高雄市,富安診所,3542090150,高雄市大社區金龍路138號,22.726886,120.353695,3528996
7,高雄市,吉田診所,3542090276,高雄市大社區中山路72號,22.731984,120.345304,3543381
7,高雄市,喉康診所,3507060070,高雄市大寮區中庄里仁愛路82號 ,22.63548,120.395123,7017100
7,高雄市,大承耳鼻喉科診所,3542062307,高雄市大寮區中庄里鳳屏一路464號 ,22.636091,120.39267,7013668
7,高雄市,大鋐診所,3507060043,高雄市大寮區中庄里鳳屏一路492號 ,22.636113,120.392853,7038188
7,高雄市,大順診所,3542060769,高雄市大寮區中庄里鳳屏一路562號 ,22.637101,120.394495,7038417
